index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,n_plates
6421329,LJJ7111,NY,PAS,2024-08-23,2178.53,935.27,1243.26,29,1243.26,1314.15,517.99,796.16,18.0,151
5488581,KS994R,FL,PAS,2024-12-26,386.77,0.0,386.77,5,386.77,0.0,0.0,0.0,0.0,153
5659536,KVD8025,NY,PAS,2024-04-26,966.03,272.08000000000004,693.95,12,693.95,225.82,0.0,225.82,3.0,128
6787448,MJC2738,PA,PAS,2024-04-15,1215.95,0.0,1215.95,15,1215.95,0.0,0.0,0.0,0.0,60
463094,618514,NY,PAS,2024-01-05,1476.73,378.94,1097.79,20,947.79,542.49,0.0,542.49,8.0,149
5001838,KGS9082,NY,PAS,2024-03-10,1692.37,621.01,1071.36,22,1071.36,625.15,0.0,625.15,8.0,115
4725076,K64MHB,NJ,PAS,2024-12-06,1429.76,1026.61,403.15,18,403.15,0.0,0.0,0.0,0.0,158
7625725,X54RBC,NJ,PAS,2024-01-06,751.41,0.0,751.41,9,751.41,0.0,0.0,0.0,0.0,106
6275879,LEV6247,NY,PAS,2024-11-03,550.72,0.0,550.72,7,550.72,75.0,0.0,75.0,1.0,128
6040093,LAG8376,NY,PAS,2024-12-05,551.76,75.0,476.76,7,476.76,0.0,0.0,0.0,0.0,158
445572,5LJA28,MA,PAS,2024-09-06,930.38,0.0,930.38,12,930.38,533.3399999999999,0.0,533.3399999999999,7.0,165
4292135,JJG9717,NY,PAS,2024-06-29,1197.0,788.23,408.77,16,408.77,0.0,0.0,0.0,0.0,109
6059343,LAP2242,NY,PAS,2024-02-15,584.04,0.0,584.04,7,584.04,0.0,0.0,0.0,0.0,109
1954289,F50RNJ,NJ,PAS,2024-01-18,510.43,0.0,510.43,6,510.43,0.0,0.0,0.0,0.0,115
321585,44DRQG,FL,PAS,2024-03-22,2321.44,90.6,2230.84,29,2230.84,1025.44,0.0,1025.44,13.0,107
124097,20DJUL,FL,PAS,2024-05-30,566.75,0.0,566.75,7,566.75,0.0,0.0,0.0,0.0,121
6204669,LDH6218,NY,PAS,2024-06-14,407.61,30.88,376.73,5,376.73,0.0,0.0,0.0,0.0,131
4745628,KAE8131,NY,PAS,2024-09-27,2494.52,942.02,1552.5,33,1552.5,454.75,0.0,454.75,6.0,195
5881024,KYT8764,NY,PAS,2024-07-22,684.75,275.0,409.75,9,409.75,0.0,0.0,0.0,0.0,87
430057,59DISA,FL,PAS,2024-02-22,989.92,0.0,989.92,12,989.92,0.0,0.0,0.0,0.0,118
4068749,JDU3362,NY,PAS,2024-09-10,1441.59,671.39,770.2,20,770.2,353.07,0.0,353.07,5.0,102
5621734,KUH8002,NY,PAS,2024-01-12,1499.45,655.55,843.9,20,843.9,463.76,0.0,463.76,6.0,106
2283018,G80PKX,NJ,PAS,2024-12-28,471.43,0.0,471.43,6,471.43,0.0,0.0,0.0,0.0,133
5037928,KHI,NJ,PAS,2024-06-30,1240.5,650.0,590.5,18,490.5,175.0,0.0,175.0,3.0,88
